"Nch","N","url","id","Locality_Name","Postal_code","Type_of_property","Subtype_of_property","Price","Type_of_sale","Number_of_rooms","Living_Area","Equipped_kitchen","Furnished","Open_fire","Terrace_YN","TerraceSurface","Garden_YN","Garden_area","Surface_of_good","Number_of_facades","Swimming_pool_YN","State_of_building","ipiNo","customer_type","regionCode","region","province","location_type","seller_type","seller_name","seller_website"
"0","1","https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/koksijde/8670/10995335","10995335","Koksijde","8670","APARTMENT_GROUP","APARTMENT_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","506.164","AGENCY","FLANDERS","Flanders","West Flanders","","AGENCY","Immo Francois",""
"0","2","https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10995006","10995006","Woluwe-Saint-Lambert","1200","APARTMENT","APARTMENT","335000","FOR_SALE","2","75","HYPER_EQUIPPED","False","False","True","12","","","","2","False","GOOD","101.953","AGENCY","BRUSSELS","Brussels","Brussels","ISOLATED","AGENCY","Expertissimmo","http://www.expertissimmo.eu"
"0","3","https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/koksijde/8670/10995273","10995273","Koksijde","8670","APARTMENT_GROUP","APARTMENT_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","506.164","AGENCY","FLANDERS","Flanders","West Flanders","","AGENCY","Immo Francois",""
"0","4","https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/bruxelles/1000/10994980","10994980","Bruxelles","1000","APARTMENT_GROUP","APARTMENT_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","510.145","REAL_ESTATE_AGENCY","BRUSSELS","Brussels","Brussels","","REAL_ESTATE_AGENCY","Vaneau Lecobel Vente Neuf","http://www.vaneau-lecobel.be"
"0","5","https://www.immoweb.be/en/classified/duplex/for-sale/etterbeek/1040/10995910","10995910","Etterbeek","1040","APARTMENT","DUPLEX","1150000","FOR_SALE","3","201","HYPER_EQUIPPED","False","False","True","40","","","","","","AS_NEW","506.108","AGENCY_PAYING_WITH_OGONE","BRUSSELS","Brussels","Brussels","RESIDENTIAL","AGENCY_PAYING_WITH_OGONE","Tervuren Development","http://www.inside.development.be "
"0","6","https://www.immoweb.be/en/classified/flat-studio/for-sale/laken-bru/1020/10994579","10994579","LAKEN (BRU.)","1020","APARTMENT","FLAT_STUDIO","135000","FOR_SALE","0","38","INSTALLED","None","True","None","","","","5","3","","GOOD","504.267","AGENCY","BRUSSELS","Brussels","Brussels","","AGENCY","IMMO-TIME","http://www.immo-time.be"
"0","7","https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/10993405","10993405","Seraing","4100","HOUSE","HOUSE","180000","FOR_SALE","3","100","INSTALLED","False","False","True","20","True","70","5","2","False","AS_NEW","509.346","AGENCY","WALLONIE","Wallonie","Liège","URBAN","AGENCY","L'Immobilière de Marneffe","http://www.immodemarneffe.be"
"0","8","https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/ronse/9600/10993048","10993048","Ronse","9600","HOUSE_GROUP","HOUSE_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","504.850","AGENCY","FLANDERS","Flanders","East Flanders","","AGENCY","IMMO BEGUIN","http://www.immobeguin.be/"
"0","9","https://www.immoweb.be/en/classified/service-flat/for-sale/aalst/9300/10993379","10993379","Aalst","9300","APARTMENT","SERVICE_FLAT","245000","FOR_SALE","1","52","HYPER_EQUIPPED","False","False","True","10","","","","2","False","AS_NEW","504254","AGENCY","FLANDERS","Flanders","East Flanders","URBAN","AGENCY","Immo Da Vinci","http://www.immodavinci.be"
"0","10","https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/evergem/9940/10993325","10993325","Evergem","9940","APARTMENT_GROUP","APARTMENT_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","504254","AGENCY","FLANDERS","Flanders","East Flanders","","AGENCY","Immo Da Vinci","http://www.immodavinci.be"
"1","1","https://www.immoweb.be/en/classified/ground-floor/for-sale/koksijde/8670/10995340","10995340","Koksijde","8670","APARTMENT","GROUND_FLOOR","325000","FOR_SALE","1","83","","None","False","True","7","","","","","","GOOD","506.164","AGENCY","FLANDERS","Flanders","West Flanders","","AGENCY","Immo Francois",""
"2","1","https://www.immoweb.be/en/classified/apartment/for-sale/koksijde/8670/10995343","10995343","Koksijde","8670","APARTMENT","APARTMENT","400000","FOR_SALE","2","104","","None","False","True","6","","","","","","GOOD","506.164","AGENCY","FLANDERS","Flanders","West Flanders","","AGENCY","Immo Francois",""
"3","1","https://www.immoweb.be/en/classified/apartment/for-sale/koksijde/8670/10995337","10995337","Koksijde","8670","APARTMENT","APARTMENT","410000","FOR_SALE","2","103","","None","False","True","14","","","","","","GOOD","506.164","AGENCY","FLANDERS","Flanders","West Flanders","","AGENCY","Immo Francois",""
"4","1","https://www.immoweb.be/en/classified/apartment/for-sale/koksijde/8670/10995342","10995342","Koksijde","8670","APARTMENT","APARTMENT","410000","FOR_SALE","2","104","","None","False","True","6","","","","","","GOOD","506.164","AGENCY","FLANDERS","Flanders","West Flanders","","AGENCY","Immo Francois",""
"5","1","https://www.immoweb.be/en/classified/ground-floor/for-sale/koksijde/8670/10995336","10995336","Koksijde","8670","APARTMENT","GROUND_FLOOR","410000","FOR_SALE","2","105","","None","False","True","15","","","","","","GOOD","506.164","AGENCY","FLANDERS","Flanders","West Flanders","","AGENCY","Immo Francois",""
"6","1","https://www.immoweb.be/en/classified/apartment/for-sale/koksijde/8670/10995341","10995341","Koksijde","8670","APARTMENT","APARTMENT","420000","FOR_SALE","2","103","","None","False","True","14","","","","","","GOOD","506.164","AGENCY","FLANDERS","Flanders","West Flanders","","AGENCY","Immo Francois",""
"7","1","https://www.immoweb.be/en/classified/apartment/for-sale/koksijde/8670/10995338","10995338","Koksijde","8670","APARTMENT","APARTMENT","495000","FOR_SALE","2","121","","None","False","True","7","","","","","","GOOD","506.164","AGENCY","FLANDERS","Flanders","West Flanders","","AGENCY","Immo Francois",""
"8","1","https://www.immoweb.be/en/classified/apartment/for-sale/koksijde/8670/10995339","10995339","Koksijde","8670","APARTMENT","APARTMENT","675000","FOR_SALE","3","152","","None","False","True","24","","","","","","GOOD","506.164","AGENCY","FLANDERS","Flanders","West Flanders","","AGENCY","Immo Francois",""
"1","3","https://www.immoweb.be/en/classified/apartment/for-sale/koksijde/8670/10995275","10995275","Koksijde","8670","APARTMENT","APARTMENT","365000","FOR_SALE","2","94","","None","False","True","5","","","","","","GOOD","506.164","AGENCY","FLANDERS","Flanders","West Flanders","","AGENCY","Immo Francois",""
"2","3","https://www.immoweb.be/en/classified/apartment/for-sale/koksijde/8670/10995274","10995274","Koksijde","8670","APARTMENT","APARTMENT","370000","FOR_SALE","2","94","","None","False","True","5","","","","","","GOOD","506.164","AGENCY","FLANDERS","Flanders","West Flanders","","AGENCY","Immo Francois",""
